Time_s,Distance_m
0.417772649343666,0.681674408716108
0.417779308062318,0.681697442429172
0.417785966224656,0.681720474609209
0.417792623995386,0.681743505825898
0.417799281127921,0.681766535226131
0.417805937921986,0.681789563846669
0.417812594081156,0.681812590661981
0.417819249792835,0.681835616320282
0.417825905081886,0.681858640907513
0.41783255970288,0.681881663574491
0.417839214019022,0.6819046855777
0.417845867777592,0.68192770604272
0.417852521032836,0.681950725157138
0.417859173882489,0.681973743259019
0.417865826181891,0.681996759847771
0.417872478131574,0.68201977561715
0.417879129424497,0.682042789504701
0.4178857803936,0.68206580266233
0.417892430671331,0.682088813818171
0.417899080492417,0.682111823784329
0.417905729892431,0.682134832683808
0.417912378747249,0.682157840087024
0.417919027117481,0.682180846203614
0.41792567495963,0.682203850882975
0.417932322295476,0.682226854200383
0.417938969302319,0.682249856769318
0.417945615621353,0.68227285734801
0.41795226164451,0.682295857292709
0.417958907031927,0.68231885542717
0.41796555187795,0.682341852077799
0.417972196252295,0.682364847485779
0.417978840211672,0.682387841847298
0.417985483701836,0.682410834974543
0.417992126602569,0.682433826451349
0.417998769057502,0.682456816774732
0.418005411142011,0.68247980620551
0.418012052712995,0.68250279424831
0.418018693811351,0.682525781044596
0.418025334264901,0.682548765998313
0.418031974283052,0.682571749834196
0.41803861372169,0.682594732053318
0.418045252831687,0.682617713523987
0.41805189147284,0.682640693760815
0.41805852954559,0.682663672419078
0.418065167253417,0.68268665020307
0.41807180446253,0.682709626649573
0.418078441206107,0.682732601873354
0.418085077425,0.682755575669569
0.418091713062789,0.682778547842796
0.41809834832529,0.682801519105478
0.418104982980144,0.682824488653102
0.418111617132644,0.6828474568501
0.418118250878142,0.682870424026515
0.418124884104449,0.68289338979384
0.418131516799546,0.682916354110379
0.418138149081509,0.68293931738486
0.41814478090145,0.682962279447932
0.41815141224947,0.682985240265248
0.418158043057155,0.683008199599835
0.418164673412877,0.683031157757597
0.41817130322433,0.683054114418826
0.418177932535878,0.68307706973705
0.418184561477949,0.683100024163824
0.418191189961366,0.683122977390277
0.418197817875208,0.683145929032225
0.418204445244246,0.68316887917534
0.418211072246758,0.683191828436915
0.418217698565763,0.683214775719151
0.418224324447085,0.683237721873251
0.41823094992135,0.683260667005203
0.418237574968952,0.683283611047036
0.418244199440545,0.683306553481441
0.418250823477803,0.68332949479899
0.418257447013321,0.683352434766151
0.4182640700712,0.683375373466313
0.418270692648004,0.683398310887486
0.418277314750667,0.683421247053609
0.418283936485522,0.683444182332895
0.418290557667114,0.683467116082921
0.418297178330671,0.683490048425607
0.418303798471994,0.683512979346317
0.418310418286594,0.683535909522196
0.418317037487493,0.683558837959099
0.418323656214916,0.683581765142665
0.418330274493373,0.683604691157719
0.418336892273795,0.683627615834195
