FinalDrive,Grip_Fact,Time_75m_s,Reached75m,ErrorMessage
5.5,0.9,3.57808490451883,1,
5.6,0.9,3.55863114809726,1,
5.7,0.9,3.5402044861469,1,
5.8,0.9,3.52275040986382,1,
5.9,0.9,3.50630289674278,1,
6,0.9,3.49076136365385,1,
6.1,0.9,3.47608432113728,1,
6.2,0.9,3.46226871715855,1,
6.3,0.9,3.44929108102935,1,
6.4,0.9,3.43707890673672,1,
6.5,0.9,3.42563278269001,1,
6.6,0.9,3.4148875311629,1,
6.7,0.9,3.40491272048891,1,
6.8,0.9,3.39557554241988,1,
6.9,0.9,3.38690112715391,1,
7,0.9,3.37885806364785,1,
7.1,0.9,3.37148152927865,1,
7.2,0.9,3.36462788325398,1,
7.3,0.9,3.35838641330319,1,
7.4,0.9,3.35273533496822,1,
7.5,0.9,3.34767279413103,1,
7.6,0.9,3.5639439289184,1,
7.7,0.9,3.56517574648122,1,
7.8,0.9,3.56915017429666,1,
7.9,0.9,3.57297804061966,1,
8,0.9,3.57582978447412,1,
8.1,0.9,3.57879309595385,1,
8.2,0.9,3.58221583431385,1,
8.3,0.9,3.58540026783102,1,
8.4,0.9,3.58927903720525,1,
8.5,0.9,3.59301424676021,1,
8.6,0.9,3.59718294021252,1,
8.7,0.9,3.60140067675445,1,
8.8,0.9,3.60647312860822,1,
8.9,0.9,3.61158073613751,1,
9,0.9,3.61677224788495,1,
9.1,0.9,3.622566707662,1,
9.2,0.9,3.62802658788789,1,
9.3,0.9,3.63396113190576,1,
9.4,0.9,3.64463305457767,1,
9.5,0.9,3.65128875487943,1,
9.6,0.9,3.65829635168751,1,
9.7,0.9,3.6651119002228,1,
9.8,0.9,3.67274332554254,1,
9.9,0.9,3.68013755651662,1,
10,0.9,3.68811798325963,1,
10.1,0.9,3.69634961021206,1,
10.2,0.9,3.70433688053655,1,
10.3,0.9,3.71306486424159,1,
10.4,0.9,3.72664100112523,1,
10.5,0.9,3.735680427833,1,
10.6,0.9,3.74480301741601,1,
10.7,0.9,3.75432009925315,1,
10.8,0.9,3.76380017244851,1,
10.9,0.9,3.77558947391466,1,
11,0.9,3.78536817728486,1,
11.1,0.9,3.79550539041481,1,
11.2,0.9,3.80581904273443,1,
11.3,0.9,3.81635925080396,1,
11.4,0.9,3.82730738060594,1,
11.5,0.9,3.83838260749617,1,
11.6,0.9,3.84976980585775,1,
11.7,0.9,3.86079896086584,1,
11.8,0.9,3.87266717644393,1,
11.9,0.9,3.88447161793422,1,
12,0.9,3.89640502299738,1,
12.1,0.9,3.91077813626597,1,
12.2,0.9,3.92306648575384,1,
12.3,0.9,3.93608268992676,1,
12.4,0.9,3.94850967568491,1,
12.5,0.9,3.96160223149517,1,
2.5,1,5.10648193588635,1,
2.6,1,5.00666862105477,1,
2.7,1,4.91249789177189,1,
2.8,1,4.82347260107576,1,
2.9,1,4.73917429838361,1,
3,1,4.65921933908979,1,
3.1,1,4.58320980842681,1,
3.2,1,4.51078404105832,1,
3.3,1,4.44175878891706,1,
3.4,1,4.37582852809669,1,
3.5,1,4.31283685473577,1,
3.6,1,4.25289997279985,1,
3.7,1,4.19614361280245,1,
3.8,1,4.14252601419445,1,
3.9,1,4.09190005301203,1,
4,1,4.04417384884225,1,
4.1,1,3.99919064463401,1,
4.2,1,3.95675104439949,1,
4.3,1,3.91672059580379,1,
4.4,1,3.87893743125726,1,
4.5,1,3.84327754292321,1,
4.6,1,3.80952776605668,1,
4.7,1,3.7776323307259,1,
4.8,1,3.74746564343479,1,
4.9,1,3.7188785641201,1,
5,1,3.69181351925377,1,
5.1,1,3.66616317363693,1,
5.2,1,3.64184959591669,1,
5.3,1,3.61883221119436,1,
5.4,1,3.59700690788495,1,
5.5,1,3.57635058432017,1,
5.6,1,3.55680780651565,1,
5.7,1,3.53826810244892,1,
5.8,1,3.52075812343798,1,
5.9,1,3.50419983364227,1,
6,1,3.48855372248389,1,
6.1,1,3.47379813957456,1,
6.2,1,3.45987637250894,1,
6.3,1,3.44679822088387,1,
